0.51	[0.24885122635316587, 0.5015217521035985, 0.2806946688206785, 0.5656973613354873, 0.22349662343230786, 0.4504234108693322, 0.330910070005385, 0.2850026925148088]
0.52	[0.24487102579484102, 0.4988602279544091, 0.2747711362412493, 0.5597738287560582, 0.22083964509846354, 0.4499026184808483, 0.33037156704361875, 0.2850026925148088]
0.53	[0.24220869250708302, 0.49719693772982093, 0.270463112547119, 0.5551965535810447, 0.2192992031437616, 0.45016919550267437, 0.32942918686052775, 0.28473344103392567]
0.54	[0.24023260039978192, 0.49609304015991285, 0.26696284329563813, 0.5512924071082391, 0.21836802114304593, 0.4509415262636274, 0.32781367797522887, 0.284329563812601]
0.55	[0.23738727760175482, 0.4935413112356812, 0.2622509423801831, 0.5452342487883683, 0.21682991985752448, 0.4508014247551202, 0.3263327948303716, 0.28298330640818525]
0.56	[0.23369465368363032, 0.49213056525200566, 0.2568659127625202, 0.540926225094238, 0.21435793731041455, 0.4514099539377598, 0.32444803446418957, 0.2840603123317178]
0.57	[0.23028138661412473, 0.49036389384890094, 0.2517501346257404, 0.5360796984383414, 0.21218654260751163, 0.45183252014070124, 0.3222940226171244, 0.284329563812601]
0.58	[0.22869511440940013, 0.489795918367347, 0.24892299407646742, 0.5331179321486268, 0.21150766415008007, 0.4529855868222375, 0.31973613354873454, 0.2841949380721594]
0.59	[0.22596273291925464, 0.4884472049689441, 0.24488422186322026, 0.5293484114162628, 0.20975553505535055, 0.4534132841328413, 0.31879375336564353, 0.28446418955304253]
0.6	[0.22281862439146174, 0.4868306079141181, 0.2403069466882068, 0.5250403877221325, 0.20770304863858505, 0.45380498021875726, 0.3174474959612278, 0.28473344103392567]
0.61	[0.2204526929588062, 0.48567308295190914, 0.23667205169628433, 0.52140549273021, 0.20631381293275436, 0.45452411688768923, 0.3155627355950458, 0.28473344103392567]
0.62	[0.2173228346456693, 0.48390551181102365, 0.23222940226171243, 0.5170974690360797, 0.20421451402864924, 0.4547176512371256, 0.3139472267097469, 0.28486806677436727]
0.63	[0.21466067927392324, 0.48219593953576617, 0.2284598815293484, 0.5131933225632741, 0.20243349636168437, 0.45472981033043064, 0.3148896068928379, 0.28473344103392567]
0.64	[0.2124174707973591, 0.4813357034027425, 0.22522886375875067, 0.5103661820140011, 0.2009851033157136, 0.45543008169149446, 0.3131394722670975, 0.2851373182552504]
0.65	[0.21135928525845565, 0.4804084237396299, 0.22294022617124395, 0.5067312870220786, 0.2009221062848823, 0.45668527056539676, 0.30990845449649973, 0.28379106085083466]
0.66	[0.20888063048632025, 0.47914397385788426, 0.21943995691976306, 0.5033656435110393, 0.19929086685413866, 0.4571463504095855, 0.3089660743134087, 0.28392568659127626]
0.67	[0.2039871382636656, 0.4758842443729904, 0.21351642434033388, 0.498115239633818, 0.19527210046786506, 0.4555528195025856, 0.31017770597738287, 0.28459881529348413]
0.68	[0.20152435085906212, 0.4751324118330965, 0.210016155088853, 0.49515347334410337, 0.19369257511795382, 0.4566674944127142, 0.3078890683898761, 0.2851373182552504]
